ID#	ORIGIN	GROWTH_STAGE	MANAGEMENT	SAMPLE_OR_CONTROL	OLD_NAME	COLLECTION_YEAR	BAR_LABEL
Sample0063	root	R2	No-Till	Sample	T2R6CR2R	2018	2018 R2 No-Till
Sample0064	root	R2	Organic	Sample	T4R1AR2R	2018	2018 R2 Organic
Sample0065	root	R2	Organic	Sample	T4R1BR2R	2018	2018 R2 Organic
Sample0066	root	R2	Organic	Sample	T4R1CR2R	2018	2018 R2 Organic
Sample0067	root	R2	Organic	Sample	T4R2AR2R	2018	2018 R2 Organic
Sample0068	root	R2	Organic	Sample	T4R2BR2R	2018	2018 R2 Organic
Sample0069	root	R2	Organic	Sample	T4R2CR2R	2018	2018 R2 Organic
Sample0070	root	R2	Organic	Sample	T4R5AR2R	2018	2018 R2 Organic
Sample0071	root	R2	Organic	Sample	T4R5BR2R	2018	2018 R2 Organic
Sample0072	root	R2	Organic	Sample	T4R5CR2R	2018	2018 R2 Organic
Sample0073	root	R2	Organic	Sample	T4R6AR2R	2018	2018 R2 Organic
Sample0074	root	R2	Organic	Sample	T4R6BR2R	2018	2018 R2 Organic
Sample0075	root	R2	Organic	Sample	T4R6CR2R	2018	2018 R2 Organic
Sample0076	neg	NEG	neg	Control	NEG4R	2018	negative
Sample0077	root	NEG	neg	Control	NEG5R	2018	negative
Sample0078	root	NEG	neg	Control	NEG6R	2018	negative
Sample0079	neg	neg	neg	Control	NEG7R	2018	negative
Sample0080	neg	neg	neg	Sample	NEG8R	2018	negative
Sample0081	neg	R4	neg	Control	NEG10R	2018	negative
Sample0082	neg	neg	neg	Control	NEG11R	2018	negative
Sample0083	root	R6	Conventional	Sample	T1R1AR6R	2018	2018 R6 Conventional
Sample0084	root	R6	Conventional	Sample	T1R1BR6R	2018	2018 R6 Conventional
Sample0085	root	R6	Conventional	Sample	T1R1CR6R	2018	2018 R6 Conventional
Sample0086	root	R6	Conventional	Sample	T1R2AR6R	2018	2018 R6 Conventional
Sample0087	root	R6	Conventional	Sample	T1R2BR6R	2018	2018 R6 Conventional
Sample0088	root	R6	Conventional	Sample	T1R2CR6R	2018	2018 R6 Conventional
Sample0089	root	R6	Conventional	Sample	T1R5AR6R	2018	2018 R6 Conventional
Sample0090	root	R6	Conventional	Sample	T1R5BR6R	2018	2018 R6 Conventional
Sample0091	root	R6	Conventional	Sample	T1R5CR6R	2018	2018 R6 Conventional
Sample0092	root	R6	Conventional	Sample	T1R6AR6R	2018	2018 R6 Conventional
Sample0093	root	R6	Conventional	Sample	T1R6BR6R	2018	2018 R6 Conventional
Sample0094	root	R6	Conventional	Sample	T1R6CR6R	2018	2018 R6 Conventional
Sample0095	NEG	NEG	NEG	Control	NEG13R	2018	negative
Sample0096	neg	neg	neg	Control	NEG12R	2018	negative
Sample0097	root	R6	No-Till	Sample	T2R1BR6R	2018	2018 R6 No-Till
Sample0098	root	R6	No-Till	Sample	T2R1CR6R	2018	2018 R6 No-Till
Sample0099	root	R6	No-Till	Sample	T2R2AR6R	2018	2018 R6 No-Till
Sample0100	root	R6	No-Till	Sample	T2R2BR6R	2018	2018 R6 No-Till
Sample0101	root	R6	No-Till	Sample	T2R2CR6R	2018	2018 R6 No-Till
Sample0102	root	R6	No-Till	Sample	T2R5AR6R	2018	2018 R6 No-Till
Sample0103	root	R6	No-Till	Sample	T2R5BR6R	2018	2018 R6 No-Till
Sample0104	root	R6	No-Till	Sample	T2R5CR6R	2018	2018 R6 No-Till
Sample0105	root	R6	No-Till	Sample	T2R6AR6R	2018	2018 R6 No-Till
Sample0106	root	R6	No-Till	Sample	T2R1AR6R	2018	2018 R6 No-Till
Sample0107	root	R6	No-Till	Sample	T2R6BR6R	2018	2018 R6 No-Till
Sample0108	root	R6	No-Till	Sample	T2R6CR6R	2018	2018 R6 No-Till
Sample0109	neg	neg	neg	Control	NEG14R	2018	negative
Sample0110	neg	neg	neg	Control	NEG15R	2018	negative
Sample0111	root	R6	Organic	Sample	T4R1AR6R	2018	2018 R6 Organic
Sample0112	neg	neg	neg	Control	T4R1BR6R	2018	negative
Sample0113	root	R6	Organic	Sample	NEG16R	2018	2018 R6 Organic
Sample0114	root	R6	Organic	Sample	T4R1CR6R	2018	2018 R6 Organic
Sample0115	root	R6	Organic	Sample	T4R2AR6R	2018	2018 R6 Organic
Sample0116	root	R6	Organic	Sample	T4R2BR6R	2018	2018 R6 Organic
Sample0117	root	R6	Organic	Sample	T4R2CR6R	2018	2018 R6 Organic
Sample0118	root	R6	Organic	Sample	T4R5AR6R	2018	2018 R6 Organic
Sample0119	root	R6	Organic	Sample	T4R5BR6R	2018	2018 R6 Organic
Sample0120	root	R6	Organic	Sample	T4R5CR6R	2018	2018 R6 Organic
Sample0121	root	R6	Organic	Sample	T4R6AR6R	2018	2018 R6 Organic
Sample0122	root	R6	Organic	Sample	T4R6BR6R	2018	2018 R6 Organic
Sample0123	root	R6	Organic	Sample	T4R6CR6R	2018	2018 R6 Organic
Sample0124	leaf	neg	neg	Control	Neg.7L	2018	negative
Sample0125	leaf	neg	neg	Control	NEG.8L	2018	negative
Sample0126	leaf	neg	neg	Control	NEG.9L	2018	negative
Sample0127	leaf	neg	neg	Control	NEG.10L	2018	negative
Sample0128	leaf	R4	neg	Control	NEG.11L	2018	negative
Sample0129	leaf	neg	neg	Control	NEG.12L	2018	negative
Sample0130	leaf	R6	Conventional	Sample	T1R1AR6L	2018	2018 R6 Conventional
Sample0131	leaf	R6	Conventional	Sample	T1R1BR6L	2018	2018 R6 Conventional
Sample0132	leaf	R6	Conventional	Sample	T1R1CR6L	2018	2018 R6 Conventional
Sample0133	leaf	R6	Conventional	Sample	T1R2AR6L	2018	2018 R6 Conventional
Sample0134	leaf	R6	Conventional	Sample	T1R2BR6L	2018	2018 R6 Conventional
Sample0135	leaf	R6	Conventional	Sample	T1R2CR6L	2018	2018 R6 Conventional
Sample0136	leaf	R6	Conventional	Sample	T1R5AR6L	2018	2018 R6 Conventional
Sample0137	leaf	R6	Conventional	Sample	T1R5BR6L	2018	2018 R6 Conventional
Sample0138	leaf	R6	Conventional	Sample	T1R5CR6L	2018	2018 R6 Conventional
Sample0139	leaf	R6	Conventional	Sample	T1R6AR6L	2018	2018 R6 Conventional
Sample0140	leaf	R6	Conventional	Sample	T1R6BR6L	2018	2018 R6 Conventional
Sample0141	leaf	R6	Conventional	Sample	T1R6CR6L	2018	2018 R6 Conventional
Sample0142	soil	V2	Conventional	Sample	T1R1AV2S	2018	2018 V2 Conventional
Sample0143	soil	V2	No-Till	Sample	T2R1BV2S	2018	2018 V2 No-Till
Sample0144	soil	V2	Conventional	Sample	T1R1CV2S	2018	2018 V2 Conventional
Sample0145	soil	V2	Conventional	Sample	T1R2AV2S	2018	2018 V2 Conventional
Sample0146	soil	V2	Conventional	Sample	T1R2BV2S	2018	2018 V2 Conventional
Sample0147	soil	V2	Conventional	Sample	T1R2CV2S	2018	2018 V2 Conventional
Sample0148	soil	V2	Conventional	Sample	T1R5AV2S	2018	2018 V2 Conventional
Sample0149	soil	V2	Conventional	Sample	T1R5BV2S	2018	2018 V2 Conventional
Sample0150	soil	V2	Conventional	Sample	T1R5CV2S	2018	2018 V2 Conventional
Sample0151	neg	neg	neg	Control	NEG.1S	2018	negative
Sample0152	soil	V2	Conventional	Sample	T1R6AV2S	2018	2018 V2 Conventional
Sample0153	soil	V2	Conventional	Sample	T1R6BV2S	2018	2018 V2 Conventional
Sample0154	soil	V2	Conventional	Sample	T1R6CV2S	2018	2018 V2 Conventional
Sample0155	soil	V2	No-Till	Sample	T2R1AV2S	2018	2018 V2 No-Till
Sample0156	soil	V2	Conventional	Sample	T1R1BV2S	2018	2018 V2 Conventional
Sample0157	soil	V2	No-Till	Sample	T2R1CV2S	2018	2018 V2 No-Till
Sample0158	soil	V2	No-Till	Sample	T2R2AV2S	2018	2018 V2 No-Till
Sample0159	soil	V2	No-Till	Sample	T2R2BV2S	2018	2018 V2 No-Till
Sample0160	soil	V2	No-Till	Sample	T2R2CV2S	2018	2018 V2 No-Till
Sample0161	soil	V2	No-Till	Sample	T2R5AV2S	2018	2018 V2 No-Till
Sample0162	soil	V2	No-Till	Sample	T2R5BV2S	2018	2018 V2 No-Till
Sample0163	soil	V2	No-Till	Sample	T2R5CV2S	2018	2018 V2 No-Till
Sample0164	soil	V2	No-Till	Sample	T2R6AV2S	2018	2018 V2 No-Till
Sample0165	soil	V2	No-Till	Sample	T2R6BV2S	2018	2018 V2 No-Till
Sample0166	soil	V2	No-Till	Sample	T2R6CV2S	2018	2018 V2 No-Till
Sample0167	soil	V2	Organic	Sample	T4R1AV2S	2018	2018 V2 Organic
Sample0168	soil	V2	Organic	Sample	T4R1BV2S	2018	2018 V2 Organic
Sample0169	soil	V2	Organic	Sample	T4R1CV2S	2018	2018 V2 Organic
Sample0170	neg	neg	neg	Control	NEG.2S	2018	negative
Sample0171	soil	V2	Organic	Sample	T4R2AV2S	2018	2018 V2 Organic
Sample0172	soil	V2	Organic	Sample	T4R2BV2S	2018	2018 V2 Organic
Sample0173	soil	V2	Organic	Sample	T4R2CV2S	2018	2018 V2 Organic
Sample0174	soil	V2	Organic	Sample	T4R5AV2S	2018	2018 V2 Organic
Sample0175	soil	V2	Organic	Sample	T4R5BV2S	2018	2018 V2 Organic
Sample0176	soil	V2	Organic	Sample	T4R5CV2S	2018	2018 V2 Organic
Sample0177	soil	V2	Organic	Sample	T4R6AV2S	2018	2018 V2 Organic
Sample0178	soil	V2	Organic	Sample	T4R6BV2S	2018	2018 V2 Organic
Sample0179	soil	V2	Organic	Sample	T4R6CV2S	2018	2018 V2 Organic
Sample0180	neg	neg	neg	Control	NEG.3S	2018	negative
Sample0181	soil	R2	Conventional	Sample	T1R1AR2S	2018	2018 R2 Conventional
Sample0182	soil	R2	Conventional	Sample	T1R1BR2S	2018	2018 R2 Conventional
Sample0183	soil	R2	Conventional	Sample	T1R1CR2S	2018	2018 R2 Conventional
Sample0184	soil	R2	Conventional	Sample	T1R2AR2S	2018	2018 R2 Conventional
Sample0185	soil	R2	Conventional	Sample	T1R2BR2S	2018	2018 R2 Conventional
Sample0186	soil	R2	Conventional	Sample	T1R2CR2S	2018	2018 R2 Conventional
Sample0187	soil	R2	Conventional	Sample	T1R5AR2S	2018	2018 R2 Conventional
Sample0188	soil	R2	Conventional	Sample	T1R5BR2S	2018	2018 R2 Conventional
Sample0189	soil	R2	Conventional	Sample	T1R5CR2S	2018	2018 R2 Conventional
Sample0190	soil	R2	Conventional	Sample	T1R6AR2S	2018	2018 R2 Conventional
Sample0191	soil	R2	Conventional	Sample	T1R6BR2S	2018	2018 R2 Conventional
Sample0192	soil	R2	Conventional	Sample	T1R6CR2S	2018	2018 R2 Conventional
Sample0193	soil	R2	No-Till	Sample	T2R1AR2S	2018	2018 R2 No-Till
Sample0194	soil	R2	No-Till	Sample	T2R1BR2S	2018	2018 R2 No-Till
Sample0195	soil	R2	No-Till	Sample	T2R1CR2S	2018	2018 R2 No-Till
Sample0196	soil	R2	No-Till	Sample	T2R2AR2S	2018	2018 R2 No-Till
Sample0197	soil	R2	No-Till	Sample	T2R2BR2S	2018	2018 R2 No-Till
Sample0198	soil	R2	No-Till	Sample	T2R2CR2S	2018	2018 R2 No-Till
Sample0199	soil	R2	No-Till	Sample	T2R5AR2S	2018	2018 R2 No-Till
Sample0200	soil	R2	No-Till	Sample	T2R5BR2S	2018	2018 R2 No-Till
Sample0201	soil	R2	No-Till	Sample	T2R5CR2S	2018	2018 R2 No-Till
Sample0202	soil	R2	No-Till	Sample	T2R6AR2S	2018	2018 R2 No-Till
Sample0203	soil	R2	No-Till	Sample	T2R6BR2S	2018	2018 R2 No-Till
Sample0204	soil	R2	No-Till	Sample	T2R6CR2S	2018	2018 R2 No-Till
Sample0205	soil	R2	Organic	Sample	T4R1AR2S	2018	2018 R2 Organic
Sample0206	soil	R2	Organic	Sample	T4R1BR2S	2018	2018 R2 Organic
Sample0207	soil	R2	Organic	Sample	T4R1CR2S	2018	2018 R2 Organic
Sample0208	soil	R2	Organic	Sample	T4R2AR2S	2018	2018 R2 Organic
Sample0209	soil	R2	Organic	Sample	T4R2BR2S	2018	2018 R2 Organic
Sample0210	soil	R2	Organic	Sample	T4R2CR2S	2018	2018 R2 Organic
Sample0211	soil	R2	Organic	Sample	T4R5AR2S	2018	2018 R2 Organic
Sample0212	soil	R2	Organic	Sample	T4R5BR2S	2018	2018 R2 Organic
Sample0213	soil	R2	Organic	Sample	T4R5CR2S	2018	2018 R2 Organic
Sample0214	soil	R2	Organic	Sample	T4R6AR2S	2018	2018 R2 Organic
Sample0215	soil	R2	Organic	Sample	T4R6BR2S	2018	2018 R2 Organic
Sample0216	soil	R2	Organic	Sample	T4R6CR2S	2018	2018 R2 Organic
Sample0217	neg	NEG	neg	Control	NEG.4S	2018	negative
Sample0218	neg	NEG	neg	Control	NEG.5S	2018	negative
Sample0219	neg	NEG	neg	Control	NEG.6S	2018	negative
Sample0220	neg	neg	neg	Control	NEG.7S	2018	negative
Sample0221	neg	neg	neg	Control	NEG.8S	2018	negative
Sample0222	neg	neg	neg	Control	NEG.9S	2018	negative
Sample0223	neg	R4	neg	Control	NEG.10S	2018	negative
Sample0224	neg	neg	neg	Control	NEG.11S	2018	negative
Sample0225	soil	R6	Conventional	Sample	T1R1AR6S	2018	2018 R6 Conventional
Sample0226	soil	R6	Conventional	Sample	T1R1BR6S	2018	2018 R6 Conventional
Sample0227	soil	R6	Conventional	Sample	T1R1CR6S	2018	2018 R6 Conventional
Sample0228	soil	R6	Conventional	Sample	T1R2AR6S	2018	2018 R6 Conventional
Sample0229	soil	R6	Conventional	Sample	T1R2BR6S	2018	2018 R6 Conventional
Sample0230	soil	R6	Conventional	Sample	T1R2CR6S	2018	2018 R6 Conventional
Sample0231	soil	R6	Conventional	Sample	T1R5AR6S	2018	2018 R6 Conventional
Sample0232	soil	R6	Conventional	Sample	T1R5BR6S	2018	2018 R6 Conventional
Sample0233	soil	R6	Conventional	Sample	T1R5CR6S	2018	2018 R6 Conventional
Sample0234	soil	R6	Conventional	Sample	T1R6AR6S	2018	2018 R6 Conventional
Sample0235	soil	R6	Conventional	Sample	T1R6BR6S	2018	2018 R6 Conventional
Sample0236	soil	R6	Conventional	Sample	T1R6CR6S	2018	2018 R6 Conventional
Sample0237	soil	R6	No-Till	Sample	T2R1AR6S	2018	2018 R6 No-Till
Sample0238	neg	neg	neg	Control	NEG.12S	2018	negative
Sample0239	soil	R6	No-Till	Sample	T2R1BR6S	2018	2018 R6 No-Till
Sample0240	soil	R6	No-Till	Sample	T2R1CR6S	2018	2018 R6 No-Till
Sample0241	soil	R6	No-Till	Sample	T2R2AR6S	2018	2018 R6 No-Till
Sample0242	soil	R6	No-Till	Sample	T2R2BR6S	2018	2018 R6 No-Till
Sample0243	soil	R6	No-Till	Sample	T2R2CR6S	2018	2018 R6 No-Till
Sample0244	soil	R6	No-Till	Sample	T2R5AR6S	2018	2018 R6 No-Till
Sample0245	soil	R6	No-Till	Sample	T2R5BR6S	2018	2018 R6 No-Till
Sample0246	soil	R6	No-Till	Sample	T2R5CR6S	2018	2018 R6 No-Till
Sample0247	soil	R6	No-Till	Sample	T2R6AR6S	2018	2018 R6 No-Till
Sample0248	neg	neg	neg	Control	NEG.13S	2018	negative
Sample0249	soil	R6	No-Till	Sample	T2R6BR6S	2018	2018 R6 No-Till
Sample0250	soil	R6	No-Till	Sample	T2R6CR6S	2018	2018 R6 No-Till
Sample0251	neg	neg	neg	Control	NEG.14S	2018	negative
Sample0252	neg	neg	neg	Control	NEG.15S	2018	negative
Sample0253	soil	R6	Organic	Sample	T4R1AR6S	2018	2018 R6 Organic
Sample0254	neg	neg	neg	Control	NEG.16S	2018	negative
Sample0255	soil 	R6	Organic	Sample	T4R1BR6S	2018	2018 R6 Organic
Sample0256	soil	R6	Organic	Sample	T4R1CR6S	2018	2018 R6 Organic
Sample0257	soil	R6	Organic	Sample	T4R2AR6S	2018	2018 R6 Organic
Sample0258	soil	R6	Organic	Sample	T4R2BR6S	2018	2018 R6 Organic
Sample0259	soil	R6	Organic	Sample	T4R2CR6S	2018	2018 R6 Organic
Sample0260	soil	R6	Organic	Sample	T4R5AR6S	2018	2018 R6 Organic
Sample0261	soil	R6	Organic	Sample	T4R5BR6S	2018	2018 R6 Organic
Sample0262	soil	R6	Organic	Sample	T4R5CR6S	2018	2018 R6 Organic
Sample0263	soil	R6	Organic	Sample	T4R6AR6S	2018	2018 R6 Organic
Sample0264	soil	R6	Organic	Sample	T4R6BR6S	2018	2018 R6 Organic
Sample0265	soil	R6	Organic	Sample	T4R6CR6S	2018	2018 R6 Organic
Sample0266	leaf	V2	Conventional	Sample	T1R1AV2L	2018	2018 V2 Conventional
Sample0267	leaf	V2	No-Till	Sample	T2R1BV2L	2018	2018 V2 No-Till
Sample0268	leaf	V2	Conventional	Sample	T1R1CV2L	2018	2018 V2 Conventional
Sample0269	leaf	V2	Conventional	Sample	T1R2AV2L	2018	2018 V2 Conventional
Sample0270	leaf	V2	Conventional	Sample	T1R2BV2L	2018	2018 V2 Conventional
Sample0271	leaf	V2	Conventional	Sample	T1R2CV2L	2018	2018 V2 Conventional
Sample0272	leaf	V2	Conventional	Sample	T1R5AV2L	2018	2018 V2 Conventional
Sample0273	leaf	V2	Conventional	Sample	T1R5BV2L	2018	2018 V2 Conventional
Sample0274	leaf	V2	Conventional	Sample	T1R5CV2L	2018	2018 V2 Conventional
Sample0275	leaf	neg	neg	Control	Neg.1L	2018	negative
Sample0276	leaf	V2	Conventional	Sample	T1R6AV2L	2018	2018 V2 Conventional
Sample0277	leaf	V2	Conventional	Sample	T1R6BV2L	2018	2018 V2 Conventional
Sample0278	leaf	V2	Conventional	Sample	T1R6CV2L	2018	2018 V2 Conventional
Sample0279	leaf	V2	No-Till	Sample	T2R1AV2L	2018	2018 V2 No-Till
Sample0280	leaf	V2	Conventional	Sample	T1R1BV2L	2018	2018 V2 Conventional
Sample0281	leaf	V2	No-Till	Sample	T2R1CV2L	2018	2018 V2 No-Till
Sample0282	leaf	V2	No-Till	Sample	T2R2AV2L	2018	2018 V2 No-Till
Sample0283	leaf	V2	No-Till	Sample	T2R2BV2L	2018	2018 V2 No-Till
Sample0284	leaf	V2	No-Till	Sample	T2R2CV2L	2018	2018 V2 No-Till
Sample0285	leaf	V2	No-Till	Sample	T2R5AV2L	2018	2018 V2 No-Till
Sample0286	leaf	V2	No-Till	Sample	T2R5BV2L	2018	2018 V2 No-Till
Sample0287	leaf	V2	No-Till	Sample	T2R5CV2L	2018	2018 V2 No-Till
Sample0288	leaf	V2	No-Till	Sample	T2R6AV2L	2018	2018 V2 No-Till
Sample0289	leaf	V2	No-Till	Sample	T2R6BV2L	2018	2018 V2 No-Till
Sample0290	leaf	V2	No-Till	Sample	T2R6CV2L	2018	2018 V2 No-Till
Sample0291	leaf	V2	Organic	Sample	T4R1AV2L	2018	2018 V2 Organic
Sample0292	leaf	V2	Organic	Sample	T4R1BV2L	2018	2018 V2 Organic
Sample0293	leaf	V2	Organic	Sample	T4R1CV2L	2018	2018 V2 Organic
Sample0294	leaf	neg	neg	Control	NEG.2L	2018	negative
Sample0295	leaf	V2	Organic	Sample	T4R2AV2L	2018	2018 V2 Organic
Sample0296	leaf	V2	Organic	Sample	T4R2BV2L	2018	2018 V2 Organic
Sample0297	leaf	V2	Organic	Sample	T4R2CV2L	2018	2018 V2 Organic
Sample0298	leaf	V2	Organic	Sample	T4R5AV2L	2018	2018 V2 Organic
Sample0299	leaf	V2	Organic	Sample	T4R5BV2L	2018	2018 V2 Organic
Sample0300	leaf	V2	Organic	Sample	T4R5CV2L	2018	2018 V2 Organic
Sample0301	leaf	V2	Organic	Sample	T4R6AV2L	2018	2018 V2 Organic
Sample0302	leaf	V2	Organic	Sample	T4R6BV2L	2018	2018 V2 Organic
Sample0303	leaf	V2	Organic	Sample	T4R6CV2L	2018	2018 V2 Organic
Sample0304	leaf	neg	neg	Control	NEG.3L	2018	negative
Sample0305	leaf	R2	Conventional	Sample	T1R1AR2L	2018	2018 R2 Conventional
Sample0306	leaf	R2	Conventional	Sample	T1R1BR2L	2018	2018 R2 Conventional
Sample0307	leaf	R2	Conventional	Sample	T1R1CR2L	2018	2018 R2 Conventional
Sample0308	leaf	R2	Conventional	Sample	T1R2AR2L	2018	2018 R2 Conventional
Sample0309	leaf	R2	Conventional	Sample	T1R2BR2L	2018	2018 R2 Conventional
Sample0310	leaf	R2	Conventional	Sample	T1R2CR2L	2018	2018 R2 Conventional
Sample0311	leaf	R2	Conventional	Sample	T1R5AR2L	2018	2018 R2 Conventional
Sample0312	leaf	R2	Conventional	Sample	T1R5BR2L	2018	2018 R2 Conventional
Sample0313	leaf	R2	Conventional	Sample	T1R5CR2L	2018	2018 R2 Conventional
Sample0314	leaf	R2	Conventional	Sample	T1R6AR2L	2018	2018 R2 Conventional
Sample0315	leaf	R2	Conventional	Sample	T1R6BR2L	2018	2018 R2 Conventional
Sample0316	leaf	R2	Conventional	Sample	T1R6CR2L	2018	2018 R2 Conventional
Sample0317	leaf	R2	No-Till	Sample	T2R1AR2L	2018	2018 R2 No-Till
Sample0318	leaf	R2	No-Till	Sample	T2R1BR2L	2018	2018 R2 No-Till
Sample0319	leaf	R2	No-Till	Sample	T2R1CR2L	2018	2018 R2 No-Till
Sample0320	leaf	R2	No-Till	Sample	T2R2AR2L	2018	2018 R2 No-Till
Sample0321	leaf	R2	No-Till	Sample	T2R2BR2L	2018	2018 R2 No-Till
Sample0322	leaf	R2	No-Till	Sample	T2R2CR2L	2018	2018 R2 No-Till
Sample0323	leaf	R2	No-Till	Sample	T2R5AR2L	2018	2018 R2 No-Till
Sample0324	leaf	R2	No-Till	Sample	T2R5BR2L	2018	2018 R2 No-Till
Sample0325	leaf	R2	No-Till	Sample	T2R5CR2L	2018	2018 R2 No-Till
Sample0326	leaf	R2	No-Till	Sample	T2R6AR2L	2018	2018 R2 No-Till
Sample0327	leaf	R2	No-Till	Sample	T2R6BR2L	2018	2018 R2 No-Till
Sample0328	leaf	R2	No-Till	Sample	T2R6CR2L	2018	2018 R2 No-Till
Sample0329	leaf	R2	Organic	Sample	T4R1AR2L	2018	2018 R2 Organic
Sample0330	leaf	R2	Organic	Sample	T4R1BR2L	2018	2018 R2 Organic
Sample0331	leaf	R2	Organic	Sample	T4R1CR2L	2018	2018 R2 Organic
