Origin	Management	Primary_guild_unique	Primary_guild_counts	Primary_guild_percent	Secondary_guild_unqiue	Secondary_guilds_counts	Secondary_guilds_percent	
leaf	No-Till	NA	NA	NA	unspecified_saprotroph	1	0	
leaf	Organic	N/A	736	35	N/A	1353	64	
leaf	Organic	soil_saprotroph	95	5	animal_decomposer	22	1	
leaf	Organic	animal_parasite	32	2	litter_saprotroph	292	14	
leaf	Organic	plant_pathogen	459	22	epiphyte	9	0	
leaf	Organic	unspecified_saprotroph	109	5	fungal_decomposer	25	1	
leaf	Organic	mycoparasite	34	2	plant_pathogen	49	2	
leaf	Organic	epiphyte	26	1	foliar_endophyte	228	11	
leaf	Organic	litter_saprotroph	380	18	wood_saprotroph	65	3	
leaf	Organic	wood_saprotroph	182	9	unsepcified_saprotroph	6	0	
leaf	Organic	sooty_mold	2	0	root-associated	37	2	
leaf	Organic	lichen_parasite	2	0	animal_parasite	14	1	
leaf	Organic	dung_saprotroph	22	1	algal_parasite	2	0	
leaf	Organic	foliar_endophyte	6	0	soil_saprotroph	5	0	
leaf	Organic	ectomycorrhizal	4	0	rock-inhabiting	8	0	
leaf	Organic	root_endophyte	2	0	nematophagous	1	0	
leaf	Organic	lichenized	4	0	dung_saprotroph	3	0	
leaf	Organic	nectar/tap_saprotroph	6	0	coral-associated	2	0	
leaf	Organic	arbuscular_mycorrhizal	26	1	root_endophyte_dark_septate	1	0	
leaf	Organic	pollen_saprotroph	1	0	nectar/tap_saprotroph	2	0	
leaf	Organic	NA	NA	NA	sooty_mold	2	0	
leaf	Organic	NA	NA	NA	root_endophyte	1	0	
leaf	Organic	NA	NA	NA	ericoid_mycorrhizal	1	0	
root	Conventional	N/A	1288	47	N/A	1765	65	
root	Conventional	plant_pathogen	216	8	litter_saprotroph	188	7	
root	Conventional	soil_saprotroph	209	8	animal_decomposer	31	1	
root	Conventional	animal_parasite	50	2	epiphyte	8	0	
root	Conventional	unspecified_saprotroph	110	4	fungal_decomposer	25	1	
root	Conventional	mycoparasite	45	2	plant_pathogen	33	1	
root	Conventional	epiphyte	12	0	foliar_endophyte	150	6	
root	Conventional	litter_saprotroph	222	8	wood_saprotroph	49	2	
root	Conventional	wood_saprotroph	136	5	unsepcified_saprotroph	3	0	
root	Conventional	dung_saprotroph	54	2	root-associated	384	14	
root	Conventional	lichen_parasite	3	0	animal_parasite	17	1	
root	Conventional	foliar_endophyte	10	0	dung_saprotroph	11	0	
root	Conventional	sooty_mold	1	0	algal_parasite	3	0	
root	Conventional	ectomycorrhizal	14	1	soil_saprotroph	19	1	
root	Conventional	root_endophyte	12	0	rock-inhabiting	7	0	
root	Conventional	arbuscular_mycorrhizal	298	11	root_endophyte	5	0	
root	Conventional	lichenized	6	0	nematophagous	1	0	
root	Conventional	pollen_saprotroph	16	1	root_endophyte_dark_septate	11	0	
root	Conventional	nectar/tap_saprotroph	10	0	nectar/tap_saprotroph	2	0	
root	Conventional	unspecified_pathotroph	3	0	insect-associated	1	0	
root	Conventional	algal_parasite	3	0	unspecified_symbiotroph	3	0	
root	Conventional	unspecified	1	0	vertebrate-associated	1	0	
root	Conventional	moss_symbiont	1	0	ericoid_mycorrhizal	1	0	
root	Conventional	NA	NA	NA	unspecified_saprotroph	2	0	
root	No-Till	N/A	1206	47	N/A	1654	64	
root	No-Till	plant_pathogen	219	9	litter_saprotroph	194	8	
root	No-Till	soil_saprotroph	183	7	animal_decomposer	21	1	
root	No-Till	animal_parasite	38	2	epiphyte	5	0	
root	No-Till	unspecified_saprotroph	92	4	fungal_decomposer	23	1	
root	No-Till	mycoparasite	39	2	plant_pathogen	28	1	
root	No-Till	epiphyte	10	0	foliar_endophyte	146	6	
root	No-Till	litter_saprotroph	229	9	wood_saprotroph	53	2	
root	No-Till	wood_saprotroph	147	6	unsepcified_saprotroph	3	0	
root	No-Till	dung_saprotroph	49	2	root-associated	376	15	
root	No-Till	lichen_parasite	4	0	animal_parasite	16	1	
root	No-Till	foliar_endophyte	9	0	algal_parasite	4	0	
root	No-Till	sooty_mold	1	0	rock-inhabiting	7	0	
root	No-Till	ectomycorrhizal	10	0	root_endophyte	2	0	
root	No-Till	root_endophyte	9	0	nematophagous	1	0	
root	No-Till	arbuscular_mycorrhizal	299	12	soil_saprotroph	15	1	
root	No-Till	lichenized	8	0	dung_saprotroph	10	0	
root	No-Till	pollen_saprotroph	12	1	root_endophyte_dark_septate	12	1	
root	No-Till	nectar/tap_saprotroph	10	0	nectar/tap_saprotroph	4	0	
root	No-Till	algal_parasite	4	0	insect-associated	1	0	
root	No-Till	NA	NA	NA	unspecified_symbiotroph	2	0	
root	No-Till	NA	NA	NA	ericoid_mycorrhizal	1	0	
root	Organic	N/A	1154	45	N/A	1632	64	
root	Organic	plant_pathogen	248	10	litter_saprotroph	213	8	
root	Organic	soil_saprotroph	173	7	animal_decomposer	22	1	
root	Organic	animal_parasite	47	2	epiphyte	9	0	
root	Organic	unspecified_saprotroph	103	4	fungal_decomposer	23	1	
root	Organic	mycoparasite	36	1	plant_pathogen	30	1	
root	Organic	epiphyte	11	0	foliar_endophyte	150	6	
root	Organic	litter_saprotroph	232	9	wood_saprotroph	56	2	
root	Organic	wood_saprotroph	153	6	unsepcified_saprotroph	2	0	
root	Organic	dung_saprotroph	43	2	root-associated	367	14	
root	Organic	lichen_parasite	5	0	algal_parasite	3	0	
root	Organic	foliar_endophyte	8	0	animal_parasite	16	1	
root	Organic	sooty_mold	1	0	rock-inhabiting	4	0	
root	Organic	ectomycorrhizal	12	1	root_endophyte	2	0	
root	Organic	root_endophyte	10	0	dung_saprotroph	11	0	
root	Organic	arbuscular_mycorrhizal	299	12	nematophagous	1	0	
root	Organic	lichenized	7	0	soil_saprotroph	15	1	
root	Organic	pollen_saprotroph	13	1	root_endophyte_dark_septate	9	0	
root	Organic	nectar/tap_saprotroph	10	0	insect-associated	1	0	
root	Organic	unspecified_pathotroph	2	0	unspecified_symbiotroph	2	0	
root	Organic	algal_parasite	4	0	nectar/tap_saprotroph	2	0	
root	Organic	unspecified	1	0	ericoid_mycorrhizal	1	0	
root	Organic	NA	NA	NA	unspecified_saprotroph	1	0	
soil	Conventional	N/A	1519	54	N/A	2041	72	
soil	Conventional	plant_pathogen	214	8	litter_saprotroph	179	6	
soil	Conventional	soil_saprotroph	189	7	animal_decomposer	24	1	
soil	Conventional	animal_parasite	42	2	epiphyte	5	0	
soil	Conventional	unspecified_saprotroph	113	4	fungal_decomposer	22	1	
soil	Conventional	mycoparasite	40	1	plant_pathogen	22	1	
soil	Conventional	epiphyte	6	0	foliar_endophyte	138	5	
soil	Conventional	litter_saprotroph	179	6	wood_saprotroph	48	2	
soil	Conventional	wood_saprotroph	172	6	root-associated	263	9	
soil	Conventional	sooty_mold	2	0	animal_parasite	13	1	
soil	Conventional	dung_saprotroph	62	2	dung_saprotroph	14	1	
soil	Conventional	lichen_parasite	6	0	algal_parasite	8	0	
soil	Conventional	foliar_endophyte	10	0	soil_saprotroph	23	1	
soil	Conventional	ectomycorrhizal	15	1	rock-inhabiting	6	0	
soil	Conventional	root_endophyte	11	0	unsepcified_saprotroph	1	0	
soil	Conventional	arbuscular_mycorrhizal	192	7	root_endophyte	3	0	
soil	Conventional	lichenized	9	0	nematophagous	1	0	
soil	Conventional	pollen_saprotroph	32	1	root_endophyte_dark_septate	11	0	
soil	Conventional	unspecified_pathotroph	5	0	insect-associated	1	0	
soil	Conventional	nectar/tap_saprotroph	4	0	unspecified_symbiotroph	3	0	
soil	Conventional	algal_parasite	4	0	nectar/tap_saprotroph	1	0	
soil	Conventional	unspecified	1	0	ericoid_mycorrhizal	1	0	
soil	Conventional	moss_symbiont	1	0	NA	NA	NA	
soil	No-Till	N/A	1719	52	N/A	2337	71	
soil	No-Till	plant_pathogen	303	9	litter_saprotroph	221	7	
soil	No-Till	soil_saprotroph	224	7	animal_decomposer	29	1	
soil	No-Till	animal_parasite	51	2	epiphyte	10	0	
soil	No-Till	unspecified_saprotroph	126	4	fungal_decomposer	32	1	
soil	No-Till	mycoparasite	49	2	plant_pathogen	34	1	
soil	No-Till	epiphyte	12	0	foliar_endophyte	156	5	
soil	No-Till	litter_saprotroph	228	7	wood_saprotroph	58	2	
soil	No-Till	wood_saprotroph	193	6	unsepcified_saprotroph	2	0	
soil	No-Till	sooty_mold	2	0	root-associated	321	10	
soil	No-Till	dung_saprotroph	61	2	animal_parasite	20	1	
soil	No-Till	lichen_parasite	9	0	dung_saprotroph	18	1	
soil	No-Till	foliar_endophyte	9	0	algal_parasite	8	0	
soil	No-Till	ectomycorrhizal	24	1	rock-inhabiting	8	0	
soil	No-Till	root_endophyte	7	0	root_endophyte	7	0	
soil	No-Till	arbuscular_mycorrhizal	230	7	soil_saprotroph	15	1	
soil	No-Till	lichenized	10	0	root_endophyte_dark_septate	14	0	
soil	No-Till	nectar/tap_saprotroph	9	0	nectar/tap_saprotroph	1	0	
soil	No-Till	pollen_saprotroph	28	1	insect-associated	1	0	
soil	No-Till	unspecified_pathotroph	5	0	unspecified_symbiotroph	5	0	
soil	No-Till	algal_parasite	2	0	vertebrate-associated	1	0	
soil	No-Till	unspecified	1	0	ericoid_mycorrhizal	2	0	
soil	No-Till	NA	NA	NA	unspecified_saprotroph	1	0	
soil	No-Till	NA	NA	NA	sooty_mold	1	0	
soil	Organic	N/A	1490	51	N/A	2059	70	
soil	Organic	plant_pathogen	269	9	litter_saprotroph	211	7	
soil	Organic	soil_saprotroph	186	6	animal_decomposer	25	1	
soil	Organic	animal_parasite	47	2	epiphyte	5	0	
soil	Organic	unspecified_saprotroph	115	4	fungal_decomposer	21	1	
soil	Organic	mycoparasite	45	2	plant_pathogen	29	1	
soil	Organic	epiphyte	6	0	foliar_endophyte	165	6	
soil	Organic	litter_saprotroph	218	7	wood_saprotroph	53	2	
soil	Organic	wood_saprotroph	194	7	unsepcified_saprotroph	3	0	
soil	Organic	sooty_mold	2	0	root-associated	280	10	
soil	Organic	dung_saprotroph	61	2	animal_parasite	13	0	
soil	Organic	lichen_parasite	5	0	dung_saprotroph	18	1	
soil	Organic	foliar_endophyte	10	0	algal_parasite	5	0	
soil	Organic	ectomycorrhizal	13	0	soil_saprotroph	21	1	
soil	Organic	root_endophyte	10	0	rock-inhabiting	5	0	
soil	Organic	arbuscular_mycorrhizal	210	7	root_endophyte	3	0	
soil	Organic	lichenized	9	0	root_endophyte_dark_septate	11	0	
soil	Organic	pollen_saprotroph	30	1	insect-associated	1	0	
soil	Organic	unspecified_pathotroph	4	0	unspecified_symbiotroph	2	0	
soil	Organic	nectar/tap_saprotroph	4	0	vertebrate-associated	1	0	
soil	Organic	algal_parasite	3	0	bryophilous	1	0	
soil	Organic	unspecified	1	0	NA	NA	NA	
stem	Conventional	N/A	499	36	N/A	880	64	
stem	Conventional	soil_saprotroph	75	5	animal_decomposer	19	1	
stem	Conventional	animal_parasite	29	2	litter_saprotroph	172	12	
stem	Conventional	plant_pathogen	223	16	epiphyte	5	0	
stem	Conventional	unspecified_saprotroph	75	5	fungal_decomposer	29	2	
stem	Conventional	mycoparasite	42	3	plant_pathogen	30	2	
stem	Conventional	epiphyte	13	1	foliar_endophyte	153	11	
stem	Conventional	litter_saprotroph	261	19	wood_saprotroph	41	3	
stem	Conventional	wood_saprotroph	100	7	unsepcified_saprotroph	2	0	
stem	Conventional	sooty_mold	2	0	root-associated	24	2	
stem	Conventional	lichen_parasite	3	0	animal_parasite	12	1	
stem	Conventional	foliar_endophyte	5	0	rock-inhabiting	4	0	
stem	Conventional	dung_saprotroph	23	2	root_endophyte	1	0	
stem	Conventional	ectomycorrhizal	7	1	soil_saprotroph	3	0	
stem	Conventional	root_endophyte	3	0	dung_saprotroph	4	0	
stem	Conventional	nectar/tap_saprotroph	6	0	algal_parasite	1	0	
stem	Conventional	arbuscular_mycorrhizal	13	1	root_endophyte_dark_septate	3	0	
stem	Conventional	algal_parasite	2	0	sooty_mold	1	0	
stem	Conventional	pollen_saprotroph	1	0	NA	NA	NA	
stem	Conventional	unspecified_pathotroph	1	0	NA	NA	NA	
stem	Conventional	lichenized	1	0	NA	NA	NA	
stem	No-Till	N/A	551	37	N/A	952	64	
stem	No-Till	soil_saprotroph	87	6	animal_decomposer	13	1	
stem	No-Till	animal_parasite	25	2	litter_saprotroph	177	12	
stem	No-Till	plant_pathogen	245	17	epiphyte	9	1	
stem	No-Till	unspecified_saprotroph	71	5	fungal_decomposer	24	2	
stem	No-Till	mycoparasite	34	2	plant_pathogen	23	2	
stem	No-Till	epiphyte	15	1	foliar_endophyte	151	10	
stem	No-Till	litter_saprotroph	262	18	wood_saprotroph	43	3	
stem	No-Till	wood_saprotroph	100	7	unsepcified_saprotroph	2	0	
stem	No-Till	sooty_mold	2	0	root-associated	56	4	
stem	No-Till	lichen_parasite	3	0	animal_parasite	12	1	
stem	No-Till	dung_saprotroph	18	1	algal_parasite	1	0	
stem	No-Till	ectomycorrhizal	8	1	rock-inhabiting	5	0	
stem	No-Till	lichenized	4	0	dung_saprotroph	6	0	
stem	No-Till	nectar/tap_saprotroph	6	0	root_endophyte_dark_septate	5	0	
stem	No-Till	foliar_endophyte	4	0	root_endophyte	1	0	
stem	No-Till	arbuscular_mycorrhizal	42	3	soil_saprotroph	2	0	
stem	No-Till	pollen_saprotroph	4	0	NA	NA	NA	
stem	No-Till	root_endophyte	1	0	NA	NA	NA	
stem	Organic	N/A	457	34	N/A	823	61	
stem	Organic	soil_saprotroph	85	6	animal_decomposer	18	1	
stem	Organic	animal_parasite	29	2	litter_saprotroph	172	13	
stem	Organic	plant_pathogen	243	18	epiphyte	3	0	
stem	Organic	unspecified_saprotroph	71	5	fungal_decomposer	18	1	
stem	Organic	mycoparasite	28	2	plant_pathogen	29	2	
stem	Organic	epiphyte	10	1	foliar_endophyte	159	12	
stem	Organic	litter_saprotroph	249	18	wood_saprotroph	37	3	
stem	Organic	wood_saprotroph	93	7	unsepcified_saprotroph	3	0	
stem	Organic	sooty_mold	2	0	root-associated	55	4	
stem	Organic	lichen_parasite	3	0	animal_parasite	13	1	
stem	Organic	foliar_endophyte	6	0	soil_saprotroph	4	0	
stem	Organic	dung_saprotroph	14	1	rock-inhabiting	6	0	
stem	Organic	ectomycorrhizal	6	0	root_endophyte	2	0	
stem	Organic	root_endophyte	2	0	nematophagous	1	0	
stem	Organic	nectar/tap_saprotroph	6	0	dung_saprotroph	4	0	
stem	Organic	lichenized	2	0	algal_parasite	1	0	
stem	Organic	arbuscular_mycorrhizal	41	3	root_endophyte_dark_septate	2	0	
stem	Organic	algal_parasite	2	0	unspecified_symbiotroph	1	0	
stem	Organic	pollen_saprotroph	2	0	NA	NA	NA	
